title,link,artist
Portrait of a Man (1954),https://collections.ed.ac.uk/record/21405?highlight=*:*,Elizabeth Blackadder
Unknown (MAR 1960),https://collections.ed.ac.uk/record/53492?highlight=*:*,John Gilbert
Male Portrait (1969),https://collections.ed.ac.uk/record/22690?highlight=*:*,Elizabeth E. Eastmond
The Sofa (1950),https://collections.ed.ac.uk/record/122805?highlight=*:*,Zygmunt Bukowski
Untitled - Woman with Bun (1963),https://collections.ed.ac.uk/record/99401?highlight=*:*,Iona Murray
Untitled (2007),https://collections.ed.ac.uk/record/99974?highlight=*:*,Jo Ganter
Via D' Italia (Unknown),https://collections.ed.ac.uk/record/21673?highlight=*:*,John Brown
Unknown (1950),https://collections.ed.ac.uk/record/50562?highlight=*:*,Thomas Clapperton
Northern Highland Landscape (1934),https://collections.ed.ac.uk/record/21677?highlight=*:*,William Wilson
Untitled - City Highrise (Feb 1962),https://collections.ed.ac.uk/record/99482?highlight=*:*,William Gillon
Discophoros,https://collections.ed.ac.uk/record/20589?highlight=*:*,Unknown
Untitled (1983-1984),https://collections.ed.ac.uk/record/21565?highlight=*:*,Lindsay Marshall
Unknown (1950),https://collections.ed.ac.uk/record/50544?highlight=*:*,Alexander Cree
Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),https://collections.ed.ac.uk/record/99458?highlight=*:*,Jane Watt
Untitled (1990-1991),https://collections.ed.ac.uk/record/21977?highlight=*:*,Anne Weddell
Untitled,https://collections.ed.ac.uk/record/122968?highlight=*:*,Robin S. Taylor
South Frieze of the Parthenon Frieze (1836-1837),https://collections.ed.ac.uk/record/20698?highlight=*:*,NA
Venus Marina,https://collections.ed.ac.uk/record/20594?highlight=*:*,Unknown
Rabbit,https://collections.ed.ac.uk/record/53751?highlight=*:*,Emma Gillies
Untitled (Unknown),https://collections.ed.ac.uk/record/21784?highlight=*:*,Victoria C F Bernie
Riders: Parthenon Frieze (1836-1837),https://collections.ed.ac.uk/record/20706?highlight=*:*,NA
Singer (JAN 1987),https://collections.ed.ac.uk/record/21841?highlight=*:*,Paul Rooney
Untitled (Unknown),https://collections.ed.ac.uk/record/21853?highlight=*:*,Unknown
